bill no,product name,no of units,full amount,date
75452,CHICKPEAS 1KG,3,1768.83,2025-05-17
75453,PRIMA INSTANT NOODLES CHICKEN,1,122.29,2025-05-17
75454,CURRY POWDER 100G,3,740.5,2025-05-17
75455,JOHNSONS BABY POWDER 200G,2,1192.45,2025-05-17
75456,KEELLS CHICKEN SAUSAGES 500G,1,968.54,2025-05-17
75457,HARISCHANDRA COFFEE 200G,1,882.32,2025-05-17
75458,PAMPERS DIAPERS L 44S,1,4554.6,2025-05-17
75459,NIPPON TUNA IN OIL 185G,1,649.47,2025-05-17
75460,MAGGI COCONUT MILK POWDER 1KG,1,1519.36,2025-05-17
75461,COCONUT MILK POWDER 400G,1,611.52,2025-05-17
75462,COCA-COLA 1.5L,3,895.77,2025-05-17
75463,SIRILAK ROASTED PEANUTS 75G,5,500.58,2025-05-17
75464,BAYGON MOSQUITO COILS 10S,4,594.14,2025-05-17
75465,NESCAFE CLASSIC 100G JAR,5,6501.0,2025-05-17
75466,RAIGAM FRIED & DEVILLED SOYA CHICKEN 110G,2,509.51,2025-05-17
75467,NEWS PAPER ARUNA,3,206.16,2025-05-17
75468,MD MANGO JAM 500G,2,1310.6,2025-05-17
75469,TESS CANNED MACKEREL 425G,3,2123.45,2025-05-17
75470,GILLETTE RAZOR,3,745.34,2025-05-17
75471,PAMPERS DIAPERS L 44S,3,13230.3,2025-05-17
75472,BAKEWELL WHITE BREAD 450G,3,535.61,2025-05-17
75473,SIRILAK FENUGREEK 100G,4,598.04,2025-05-17
75474,PRIMA INSTANT NOODLES CHICKEN,5,599.22,2025-05-17
75475,LION SODA 1L,2,304.69,2025-05-17
75476,VEG TOMATOES 1KG,2,795.39,2025-05-17
75477,SIRILAK ROASTED PEANUTS 75G,1,101.48,2025-05-17
75478,RAIGAM FRIED & DEVILLED SOYA CHICKEN 110G,4,1001.36,2025-05-17
75479,VEG ASH PLANTAINS 1KG,1,152.56,2025-05-17
75480,VEG RED ONIONS 1KG,3,1150.1,2025-05-17
75481,BROWN SUGAR 1KG,3,1325.22,2025-05-17
75482,LITTLE LION CHOCOLATE CAKE SLICE,5,741.41,2025-05-17
75483,MALIBAN GOLD MARIE 200G,1,203.94,2025-05-17
75484,VEG PUMPKIN 1KG,3,358.29,2025-05-17
75485,HARISCHANDRA COFFEE 200G,2,1805.15,2025-05-17
75486,LIFEBUOY SOAP TOTAL 10 100G,1,90.42,2025-05-17
75487,KELLOGGS HEART TO HEART OATS 200G,3,1916.28,2025-05-17
75488,COCONUT OIL 750ML,2,1732.15,2025-05-17
75489,FRT PAPAYA 1KG,2,392.86,2025-05-17
75490,FLORA TOILET PAPER ROLL 2PLY,1,101.18,2025-05-17
75491,SUNLIGHT 2 IN 1 CLEAN & JASMINE 1.2KG,3,1679.36,2025-05-17
75492,VEG PUMPKIN 1KG,2,243.52,2025-05-17
75493,MAGGI COCONUT MILK POWDER 1KG,2,2981.71,2025-05-17
75494,RIN DETERGENT POWDER 1KG,1,473.16,2025-05-17
75495,ENERGIZER BATTERY AA 2S,3,887.96,2025-05-17
75496,KELLOGGS HEART TO HEART OATS 200G,5,3186.85,2025-05-17
75497,FRT BANANA (AMBUL) 1KG,2,506.48,2025-05-17
75498,CHICKPEAS 1KG,1,593.0,2025-05-17
75499,VEG CABBAGE 1KG,2,359.26,2025-05-17
75500,AIRWICK AIR FRESHENER 250ML,2,1182.39,2025-05-17
75501,ROYAL CASHEW NUTS 100G,1,809.35,2025-05-17
75502,SALT 1KG,1,98.41,2025-05-17
75503,JOHNSONS BABY POWDER 200G,1,594.71,2025-05-17
75504,HARISCHANDRA COFFEE 200G,3,2709.85,2025-05-17
75505,VEG CAPSICUM 1KG,2,980.85,2025-05-17
75506,WHITE RAW RICE 1KG,1,220.37,2025-05-17
75507,NIPPON TUNA IN OIL 185G,4,2634.48,2025-05-17
75508,VEG CABBAGE 1KG,3,540.21,2025-05-17
75509,VEG BIG ONIONS 1KG,3,1061.11,2025-05-17
75510,MEADOWLEA FAT SPREAD 500G,4,4386.47,2025-05-17
75511,VEG BIG ONIONS 1KG,1,351.58,2025-05-17
75512,VEG LADIES FINGERS 1KG,2,400.58,2025-05-17
75513,BAKEWELL WHITE BREAD 450G,5,914.01,2025-05-17
75514,VIM DISHWASH LIQUID 500ML,3,849.87,2025-05-17
75515,HIGHLAND SET YOGHURT 90G,1,79.27,2025-05-17
75516,DETTOL ANTISEPTIC LIQUID 500ML,1,811.78,2025-05-17
75517,ROZA PASTA SPAGHETTI 500G,4,2223.2,2025-05-17
75518,FRT BANANA (AMBUL) 1KG,3,757.3,2025-05-17
75519,VEG CARROT 1KG,1,325.06,2025-05-17
75520,SIRILAK ROASTED PEANUTS 75G,2,201.74,2025-05-17
75521,VEG CABBAGE 1KG,1,180.06,2025-05-17
75522,SUNQUICK FRUIT JUICE 840ML,1,749.35,2025-05-18
75523,VEG LADIES FINGERS 1KG,2,401.71,2025-05-18
75524,DETTOL ANTISEPTIC LIQUID 500ML,4,3228.4,2025-05-18
75525,SIRILAK CHILLI POWDER 100G,2,564.35,2025-05-18
75526,BAKEWELL WHITE BREAD 450G,4,717.01,2025-05-18
75527,COCONUT OIL 750ML,3,2564.76,2025-05-18
75528,MEADOWLEA FAT SPREAD 500G,3,3340.3,2025-05-18
75529,KEELLS CHICKEN SAUSAGES 500G,3,2874.35,2025-05-18
75530,VEG ASH PLANTAINS 1KG,1,151.24,2025-05-18
75531,FRESH WHOLE CHICKEN SL 1KG,2,2778.95,2025-05-18
75532,FRT PAPAYA 1KG,3,588.04,2025-05-18
75533,FRT BANANA (AMBUL) 1KG,3,737.22,2025-05-18
75534,MAGGI COCONUT MILK POWDER 1KG,1,1509.05,2025-05-18
75535,VEG CARROT 1KG,3,949.82,2025-05-18
75536,MD MANGO JAM 500G,1,656.52,2025-05-18
75537,MUNCHEE CHOCOLATE WAFERS 85G,4,400.14,2025-05-18
75538,icecream,5,3723.54,2025-05-18
75539,FRT PAPAYA 1KG,2,407.5,2025-05-18
75540,MUNCHEE CHOCOLATE MARIE 90G,4,366.86,2025-05-18
75541,VEG CABBAGE 1KG,1,179.25,2025-05-18
75542,VEG GARLIC 1KG,1,1200.06,2025-05-18
75543,MILO POWDER 400G,1,1009.58,2025-05-18
75544,DETTOL ANTISEPTIC LIQUID 500ML,1,797.35,2025-05-18
75545,HEINZ TOMATO KETCHUP 300G,4,2750.59,2025-05-18
75546,VEG CARROT 1KG,2,641.61,2025-05-18
75547,MEADOWLEA FAT SPREAD 500G,3,3282.73,2025-05-18
75548,KELLOGGS HEART TO HEART OATS 200G,3,1917.52,2025-05-18
75549,SIRILAK CHILLI POWDER 100G,2,563.1,2025-05-18
75550,PRIMA PLAIN FLOUR 1KG,3,1119.8,2025-05-18
75551,NESCAFE CLASSIC 100G JAR,5,6585.69,2025-05-18
75552,SIRILAK FENUGREEK 100G,4,609.27,2025-05-18
75553,RED LENTILS (MYSOOR DHAL) 1KG,1,498.12,2025-05-18
75554,ROYAL CASHEW NUTS 100G,1,797.44,2025-05-18
75555,KOTMALE CHEESE SLICES 10S,2,1482.89,2025-05-18
75556,CINNAMON STICKS 50G,4,1609.35,2025-05-18
75557,PRIMA INSTANT NOODLES CHICKEN,3,358.68,2025-05-18
75558,VEG SWEET POTATO 1KG,2,504.16,2025-05-18
75559,VEG RED ONIONS 1KG,1,378.45,2025-05-18
75560,MD MANGO JAM 500G,4,2636.29,2025-05-18
75561,LIFEBUOY SOAP TOTAL 10 100G,2,180.53,2025-05-18
75562,SUNLIGHT 2 IN 1 CLEAN & JASMINE 1.2KG,5,2706.46,2025-05-18
75563,SIRILAK FENUGREEK 100G,4,599.01,2025-05-18
75564,PAMPERS DIAPERS L 44S,4,17983.86,2025-05-18
75565,VEG SWEET POTATO 1KG,2,497.59,2025-05-18
75566,NIPPON TUNA IN OIL 185G,2,1274.24,2025-05-18
75567,PRIMA PLAIN FLOUR 1KG,1,385.85,2025-05-18
75568,AQUAFINA BOTTLED WATER 5L,3,738.26,2025-05-18
75569,KELLOGGS HEART TO HEART OATS 200G,1,661.36,2025-05-18
75570,BROWN SUGAR 1KG,1,441.54,2025-05-18
75571,VEG CAPSICUM 1KG,2,1001.79,2025-05-18
75572,SIRILAK POP CORN,4,595.29,2025-05-18
75573,FRESH MILK 1L,2,800.48,2025-05-18
75574,RAIGAM FRIED & DEVILLED SOYA CHICKEN 110G,4,1001.48,2025-05-18
75575,SUNQUICK FRUIT JUICE 840ML,4,3010.08,2025-05-18
75576,MEADOWLEA FAT SPREAD 500G,2,2183.42,2025-05-18
75577,CURRY POWDER 100G,2,501.3,2025-05-18
75578,WHITE RAW RICE 1KG,1,218.35,2025-05-18
75579,VEG TOMATOES 1KG,3,1221.42,2025-05-18
75580,FRESH MILK 1L,1,399.33,2025-05-18
75581,LAKMEE SOY CUTTLEFISH 60G,5,894.47,2025-05-18
75582,DETTOL ANTISEPTIC LIQUID 500ML,1,803.59,2025-05-18
75583,ANCHOR BUTTER 227G,5,5993.73,2025-05-18
75584,NESCAFE CLASSIC 100G JAR,5,6496.58,2025-05-18
75585,DILMAH PREMIUM LEAF TEA 200G,3,2390.98,2025-05-18
75586,CINNAMON STICKS 50G,4,1622.01,2025-05-18
75587,VEG GINGER 1KG,3,4427.74,2025-05-18
75588,COCONUT,2,261.02,2025-05-18
75589,VEG RED ONIONS 1KG,2,751.4,2025-05-18
75590,JOHNSONS BABY POWDER 200G,3,1799.52,2025-05-18
75591,CLEAR SHAMPOO 180ML,5,2480.44,2025-05-18
75592,EDINBOROUGH CORDIAL 750ML,2,909.8,2025-05-18
75593,VEG ASH PLANTAINS 1KG,2,302.78,2025-05-18
75594,VEG CAPSICUM 1KG,1,509.67,2025-05-18
75595,ROYAL CASHEW NUTS 100G,5,3934.0,2025-05-18
75596,RAIGAM FRIED & DEVILLED SOYA CHICKEN 110G,2,506.52,2025-05-18
75597,VEG CUCUMBER 1KG,3,442.46,2025-05-18
75598,ROYAL CASHEW NUTS 100G,2,1574.92,2025-05-18
75599,VEG LADIES FINGERS 1KG,2,404.62,2025-05-18
75600,EDINBOROUGH CORDIAL 750ML,3,1375.8,2025-05-18
75601,GILLETTE RAZOR,1,248.37,2025-05-18
75602,RIN DETERGENT POWDER 1KG,2,948.63,2025-05-18
75603,VEG GREEN BEANS 1KG,3,902.03,2025-05-18
75604,VEG BITTER GOURD 1KG,2,447.2,2025-05-18
75605,KELLOGGS HEART TO HEART OATS 200G,4,2604.53,2025-05-18
75606,VEG BIG ONIONS 1KG,1,356.05,2025-05-18
75607,BROWN SUGAR 1KG,3,1334.05,2025-05-18
75608,CHICKPEAS 1KG,3,1773.56,2025-05-18
75609,ANCHOR BUTTER 227G,1,1222.59,2025-05-18
75610,SIRILAK FENUGREEK 100G,4,602.78,2025-05-18
75611,icecream,3,2226.59,2025-05-18
75612,JOHNSONS BABY POWDER 200G,1,597.67,2025-05-18
75613,AIRWICK AIR FRESHENER 250ML,2,1216.16,2025-05-18
75614,MILO POWDER 400G,2,1968.42,2025-05-18
75615,JOHNSONS BABY POWDER 200G,4,2415.45,2025-05-18
75616,PRIMA INSTANT NOODLES CHICKEN,2,243.31,2025-05-18
75617,VEG LEEKS 1KG,2,563.9,2025-05-18
75618,TESS CANNED MACKEREL 425G,4,2780.39,2025-05-18
75619,ROYAL CASHEW NUTS 100G,5,4078.26,2025-05-18
75620,CLOGARD TOOTHBRUSH SMART PROMO,1,121.32,2025-05-18
75621,CINNAMON STICKS 50G,2,791.43,2025-05-18
75622,RIN DETERGENT POWDER 1KG,2,949.87,2025-05-18
75623,KOTMALE CHEESE SLICES 10S,1,741.01,2025-05-18
75624,FLORA TOILET PAPER ROLL 2PLY,2,201.25,2025-05-18
75625,VEG BITTER GOURD 1KG,2,439.74,2025-05-18
75626,VIM DISHWASH LIQUID 500ML,2,566.78,2025-05-18
75627,VEG TOMATOES 1KG,1,399.48,2025-05-18
75628,RAIGAM FRIED & DEVILLED SOYA CHICKEN 110G,3,738.35,2025-05-18
75629,WHITE SUGAR 1KG,2,687.28,2025-05-18
75630,ROZA PASTA SPAGHETTI 500G,2,1078.54,2025-05-18
75631,KEELLS CHICKEN SAUSAGES 500G,4,3789.47,2025-05-18
75632,HARISCHANDRA COFFEE 200G,5,4506.14,2025-05-18
75633,ENERGIZER BATTERY AA 2S,2,606.0,2025-05-18
75634,RAIGAM FRIED & DEVILLED SOYA CHICKEN 110G,3,758.24,2025-05-18
75635,ENERGIZER BATTERY AA 2S,5,1485.59,2025-05-18
75636,VEG LIME 1KG,1,505.4,2025-05-18
75637,KELLOGGS HEART TO HEART OATS 200G,4,2622.39,2025-05-18
75638,FLORA TOILET PAPER ROLL 2PLY,1,100.09,2025-05-18
75639,FRESH MILK 1L,2,808.44,2025-05-18
75640,HEINZ TOMATO KETCHUP 300G,4,2784.58,2025-05-18
75641,TURMERIC POWDER 100G,3,1041.96,2025-05-18
75642,TESS CANNED MACKEREL 425G,5,3464.13,2025-05-18
75643,FRESH MILK 1L,2,787.56,2025-05-18
75644,COCONUT MILK POWDER 400G,3,1805.56,2025-05-18
75645,SUNLIGHT 2 IN 1 CLEAN & JASMINE 1.2KG,4,2178.47,2025-05-18
75646,VEG RED ONIONS 1KG,1,378.08,2025-05-18
75647,FRESH MILK 1L,3,1184.62,2025-05-18
75648,icecream,2,1495.13,2025-05-18
75649,COCONUT,4,522.58,2025-05-18
75650,ANCHOR BUTTER 227G,3,3585.59,2025-05-18
75651,FRT BANANA (AMBUL) 1KG,2,499.89,2025-05-18
75652,VEG LIME 1KG,2,988.9,2025-05-18
75653,ANCHOR BUTTER 227G,1,1186.96,2025-05-18
75654,EDINBOROUGH CORDIAL 750ML,5,2210.43,2025-05-18
75655,MD MANGO JAM 500G,3,1935.31,2025-05-18
75656,PRIMA PLAIN FLOUR 1KG,2,745.45,2025-05-18
75657,LION SODA 1L,3,448.91,2025-05-18
75658,SIRILAK ROASTED PEANUTS 75G,3,302.25,2025-05-18
75659,MEADOWLEA FAT SPREAD 500G,5,5524.31,2025-05-18
75660,KITHUL TREACLE BOTTLE 750ML,1,914.18,2025-05-18
75661,ROYAL CASHEW NUTS 100G,2,1631.62,2025-05-18
75662,icecream,3,2281.15,2025-05-18
75663,SIRILAK CHILLI POWDER 100G,4,1131.66,2025-05-18
75664,RICH LIFE SET KIRI DAIRY DESSERT 450G,1,303.64,2025-05-18
75665,SIRILAK POP CORN,2,303.49,2025-05-18
75666,VEG GINGER 1KG,3,4506.31,2025-05-18
75667,VEG ASH PLANTAINS 1KG,1,147.07,2025-05-18
75668,MALIBAN GOLD MARIE 200G,4,805.5,2025-05-18
75669,SIRILAK POP CORN,2,304.66,2025-05-18
75670,LION SODA 1L,1,150.95,2025-05-18
75671,PRIMA INSTANT NOODLES CHICKEN,4,477.4,2025-05-18
75672,VEG CABBAGE 1KG,1,179.63,2025-05-18
75673,SIRILAK ROASTED PEANUTS 75G,2,197.96,2025-05-18
75674,icecream,4,3034.35,2025-05-19
75675,MAGGI COCONUT MILK POWDER 1KG,2,3039.12,2025-05-19
75676,VEG LIME 1KG,3,1504.16,2025-05-19
75677,LAKMO EGG PACK L 10,3,1648.98,2025-05-19
75678,CHICKPEAS 1KG,3,1809.8,2025-05-19
75679,COCONUT OIL 750ML,3,2564.72,2025-05-19
75680,icecream,5,3814.06,2025-05-19
75681,FRT BANANA (AMBUL) 1KG,1,249.22,2025-05-19
75682,MALIBAN GOLD MARIE 200G,2,401.03,2025-05-19
75683,VEG GREEN BEANS 1KG,2,589.96,2025-05-19
75684,RED LENTILS (MYSOOR DHAL) 1KG,3,1470.69,2025-05-19
75685,WHITE RAW RICE 1KG,1,216.86,2025-05-19
75686,MUNCHEE CHOCOLATE MARIE 90G,3,274.79,2025-05-19
75687,ROZA PASTA SPAGHETTI 500G,4,2239.19,2025-05-19
75688,NIPPON TUNA IN OIL 185G,1,656.02,2025-05-19
75689,FRT BANANA (AMBUL) 1KG,1,247.75,2025-05-19
75690,VEG RED ONIONS 1KG,2,751.83,2025-05-19
75691,SIRILAK CHILLI POWDER 100G,5,1386.9,2025-05-19
75692,SUNQUICK FRUIT JUICE 840ML,3,2265.75,2025-05-19
75693,WHITE SUGAR 1KG,2,713.02,2025-05-19
75694,VEG GREEN BEANS 1KG,2,589.71,2025-05-19
75695,FT AVOCADO 1KG,2,1219.32,2025-05-19
75696,VEG GINGER 1KG,3,4581.34,2025-05-19
75697,FRT BANANA (AMBUL) 1KG,2,490.0,2025-05-19
75698,COCONUT MILK POWDER 400G,1,604.64,2025-05-19
75699,LION SODA 1L,1,152.11,2025-05-19
75700,SALT 1KG,2,199.13,2025-05-19
75701,KELLOGGS HEART TO HEART OATS 200G,5,3257.12,2025-05-19
75702,SUNLIGHT 2 IN 1 CLEAN & JASMINE 1.2KG,1,539.15,2025-05-19
75703,MUNCHEE CHOCOLATE MARIE 90G,2,181.56,2025-05-19
75704,VEG LIME 1KG,1,495.52,2025-05-19
75705,JOHNSONS BABY POWDER 200G,1,607.32,2025-05-19
75706,VEG LIME 1KG,2,995.38,2025-05-19
75707,HIGHLAND SET YOGHURT 90G,2,160.7,2025-05-19
75708,ROYAL CASHEW NUTS 100G,2,1595.35,2025-05-19
75709,SIRILAK POP CORN,4,606.37,2025-05-19
75710,AQUAFINA BOTTLED WATER 5L,5,1265.07,2025-05-19
75711,FLORA TOILET PAPER ROLL 2PLY,3,296.05,2025-05-19
75712,VEG GREEN BEANS 1KG,2,599.01,2025-05-19
75713,MAGGI COCONUT MILK POWDER 1KG,3,4458.4,2025-05-19
75714,FRT BANANA (AMBUL) 1KG,3,745.31,2025-05-19
75715,VEG CAPSICUM 1KG,1,491.12,2025-05-19
75716,COCA-COLA 1.5L,1,300.91,2025-05-19
75717,FRT PAPAYA 1KG,1,196.53,2025-05-19
75718,TESS CANNED MACKEREL 425G,1,704.72,2025-05-19
75719,PAMPERS DIAPERS L 44S,1,4480.53,2025-05-19
75720,TURMERIC POWDER 100G,5,1751.76,2025-05-19
75721,VEG ASH PLANTAINS 1KG,1,148.61,2025-05-19
75722,RAIGAM FRIED & DEVILLED SOYA CHICKEN 110G,3,739.05,2025-05-19
75723,PRIMA PLAIN FLOUR 1KG,1,376.77,2025-05-19
75724,KEELLS CHICKEN SAUSAGES 500G,1,967.13,2025-05-19
75725,DILMAH PREMIUM LEAF TEA 200G,3,2375.63,2025-05-19
75726,PAMPERS DIAPERS L 44S,5,22296.01,2025-05-19
75727,AQUAFINA BOTTLED WATER 5L,4,989.68,2025-05-19
75728,BAYGON MOSQUITO COILS 10S,1,150.43,2025-05-19
75729,VEG CABBAGE 1KG,2,355.37,2025-05-19
75730,LAKMEE SOY CUTTLEFISH 60G,2,365.59,2025-05-19
75731,PRAN POTATO CHIPS 75G,3,548.31,2025-05-19
75732,HARISCHANDRA COFFEE 200G,3,2683.65,2025-05-19
75733,VEG CABBAGE 1KG,3,531.09,2025-05-19
75734,WHITE RAW RICE 1KG,3,670.5,2025-05-19
75735,FRT PINEAPPLE,2,809.66,2025-05-19
75736,DETTOL ANTISEPTIC LIQUID 500ML,3,2429.45,2025-05-19
75737,UBC SAVOURY MURUKKU 100G,4,519.52,2025-05-19
75738,VEG POTATOES 1KG,3,1126.27,2025-05-19
75739,RAIGAM FRIED & DEVILLED SOYA CHICKEN 110G,4,980.72,2025-05-19
75740,NIPPON TUNA IN OIL 185G,5,3291.85,2025-05-19
75741,CINNAMON STICKS 50G,3,1196.2,2025-05-19
75742,LION SODA 1L,3,452.02,2025-05-19
75743,MAGGI COCONUT MILK POWDER 1KG,3,4529.32,2025-05-19
75744,ENERGIZER BATTERY AA 2S,1,297.92,2025-05-19
75745,AIRWICK AIR FRESHENER 250ML,2,1213.47,2025-05-19
75746,VEG SWEET POTATO 1KG,2,494.79,2025-05-19
75747,KOTMALE CHEESE SLICES 10S,4,3007.21,2025-05-19
75748,DETTOL ANTISEPTIC LIQUID 500ML,1,811.01,2025-05-19
75749,MALIBAN GOLD MARIE 200G,5,1012.17,2025-05-19
75750,VEG CABBAGE 1KG,1,178.01,2025-05-19
75751,BAYGON MOSQUITO COILS 10S,2,300.53,2025-05-19
75752,ANCHOR BUTTER 227G,2,2441.34,2025-05-19
75753,LIFEBUOY SOAP TOTAL 10 100G,3,265.73,2025-05-19
75754,SIRILAK ROASTED PEANUTS 75G,1,99.7,2025-05-19
75755,SUNQUICK FRUIT JUICE 840ML,5,3797.63,2025-05-19
75756,MILO POWDER 400G,1,990.63,2025-05-19
75757,MUNCHEE CHOCOLATE MARIE 90G,2,182.65,2025-05-19
75758,SIRILAK POP CORN,2,301.25,2025-05-19
75759,AQUAFINA BOTTLED WATER 5L,2,506.4,2025-05-19
75760,MD MANGO JAM 500G,4,2549.52,2025-05-19
75761,JOHNSONS BABY POWDER 200G,1,597.13,2025-05-19
75762,TESS CANNED MACKEREL 425G,5,3503.96,2025-05-19
75763,MUNCHEE CHOCOLATE WAFERS 85G,4,395.96,2025-05-19
75764,ROZA PASTA SPAGHETTI 500G,4,2243.95,2025-05-19
75765,MAGGI COCONUT MILK POWDER 1KG,2,2985.19,2025-05-19
75766,MEADOWLEA FAT SPREAD 500G,1,1099.0,2025-05-19
75767,SALT 1KG,2,196.18,2025-05-19
75768,VEG BIG ONIONS 1KG,3,1043.03,2025-05-19
75769,SIRILAK FENUGREEK 100G,5,747.56,2025-05-19
75770,CLEAR SHAMPOO 180ML,1,493.64,2025-05-19
75771,LAKMO EGG PACK L 10,4,2172.7,2025-05-19
75772,VEG PUMPKIN 1KG,2,243.71,2025-05-19
75773,LAKMEE SOY CUTTLEFISH 60G,5,891.05,2025-05-19
75774,WHITE RAW RICE 1KG,3,648.01,2025-05-19
75775,PAMPERS DIAPERS L 44S,3,13745.04,2025-05-19
75776,MILO POWDER 400G,4,3979.33,2025-05-19
75777,AIRWICK AIR FRESHENER 250ML,2,1218.39,2025-05-19
75778,VEG ASH PLANTAINS 1KG,3,451.17,2025-05-19
75779,BROWN SUGAR 1KG,2,917.65,2025-05-19
75780,VEG GARLIC 1KG,2,2376.48,2025-05-19
75781,MILO POWDER 400G,3,3042.7,2025-05-19
75782,COCONUT,2,263.8,2025-05-19
75783,SIRILAK FENUGREEK 100G,4,610.45,2025-05-19
75784,KELLOGGS HEART TO HEART OATS 200G,3,1953.4,2025-05-19
75785,BAKEWELL WHITE BREAD 450G,4,712.77,2025-05-19
75786,RIN DETERGENT POWDER 1KG,3,1450.32,2025-05-19
75787,BAKEWELL WHITE BREAD 450G,5,886.61,2025-05-19
75788,KITHUL TREACLE BOTTLE 750ML,3,2743.11,2025-05-19
75789,NESCAFE CLASSIC 100G JAR,5,6609.36,2025-05-19
75790,LAKMEE SOY CUTTLEFISH 60G,5,885.21,2025-05-19
75791,SUNQUICK FRUIT JUICE 840ML,1,746.33,2025-05-19
75792,VEG BIG ONIONS 1KG,1,343.85,2025-05-19
75793,RAIGAM FRIED & DEVILLED SOYA CHICKEN 110G,2,501.09,2025-05-19
75794,SAMAPOSHA 200G,4,731.33,2025-05-19
75795,RICH LIFE SET KIRI DAIRY DESSERT 450G,1,300.22,2025-05-19
75796,FRESH MILK 1L,2,804.79,2025-05-19
75797,PAMPERS DIAPERS L 44S,4,18349.91,2025-05-19
75798,VEG CUCUMBER 1KG,3,444.52,2025-05-19
75799,SIRILAK FENUGREEK 100G,5,764.56,2025-05-19
75800,COCONUT MILK POWDER 400G,2,1196.48,2025-05-19
75801,CLEAR SHAMPOO 180ML,2,995.69,2025-05-19
75802,FRT BANANA (AMBUL) 1KG,1,246.73,2025-05-19
75803,DETTOL ANTISEPTIC LIQUID 500ML,1,801.48,2025-05-19
75804,CLOGARD TOOTHBRUSH SMART PROMO,5,597.76,2025-05-19
75805,VEG LIME 1KG,3,1515.1,2025-05-19
75806,MILO POWDER 400G,5,4903.05,2025-05-19
75807,icecream,2,1492.49,2025-05-19
75808,VEG BITTER GOURD 1KG,2,442.99,2025-05-19
75809,FRESH MILK 1L,3,1205.4,2025-05-19
75810,GILLETTE RAZOR,2,496.71,2025-05-19
75811,LAKMO EGG PACK L 10,2,1086.79,2025-05-19
75812,MUNCHEE CHOCOLATE WAFERS 85G,2,199.12,2025-05-19
75813,KELLOGGS HEART TO HEART OATS 200G,5,3235.35,2025-05-20
75814,LAKMO EGG PACK L 10,4,2171.59,2025-05-20
75815,MILO POWDER 400G,1,982.24,2025-05-20
75816,LAKMEE SOY CUTTLEFISH 60G,1,178.15,2025-05-20
75817,FRT BANANA (AMBUL) 1KG,2,508.47,2025-05-20
75818,VEG GARLIC 1KG,2,2413.23,2025-05-20
75819,LAKMO EGG PACK L 10,3,1653.76,2025-05-20
75820,SALT 1KG,1,98.97,2025-05-20
75821,KITHUL TREACLE BOTTLE 750ML,5,4522.17,2025-05-20
75822,DETTOL ANTISEPTIC LIQUID 500ML,4,3223.74,2025-05-20
75823,MUNCHEE CHOCOLATE WAFERS 85G,3,301.29,2025-05-20
75824,DILMAH PREMIUM LEAF TEA 200G,5,3992.52,2025-05-20
75825,FRT BANANA (AMBUL) 1KG,3,736.68,2025-05-20
75826,CHICKPEAS 1KG,2,1197.52,2025-05-20
75827,TESS CANNED MACKEREL 425G,5,3541.42,2025-05-20
75828,ROYAL CASHEW NUTS 100G,3,2389.48,2025-05-20
75829,KITHUL TREACLE BOTTLE 750ML,5,4576.88,2025-05-20
75830,VEG CAPSICUM 1KG,2,990.14,2025-05-20
75831,EDINBOROUGH CORDIAL 750ML,3,1356.88,2025-05-20
75832,BROWN SUGAR 1KG,2,896.83,2025-05-20
75833,VEG ASH PLANTAINS 1KG,3,458.66,2025-05-20
75834,FLORA TOILET PAPER ROLL 2PLY,2,200.46,2025-05-20
75835,LAKMO EGG PACK L 10,4,2193.47,2025-05-20
75836,DILMAH PREMIUM LEAF TEA 200G,5,3930.77,2025-05-20
75837,VEG LIME 1KG,1,507.19,2025-05-20
75838,LION SODA 1L,2,298.34,2025-05-20
75839,VIM DISHWASH LIQUID 500ML,2,559.78,2025-05-20
75840,SIRILAK CHILLI POWDER 100G,5,1418.27,2025-05-20
75841,VEG CARROT 1KG,2,637.24,2025-05-20
75842,ANCHOR BUTTER 227G,2,2436.63,2025-05-20
75843,VEG SWEET POTATO 1KG,1,247.25,2025-05-20
75844,VEG BIG ONIONS 1KG,2,690.52,2025-05-20
75845,FRT BANANA (AMBUL) 1KG,1,249.77,2025-05-20
75846,AIRWICK AIR FRESHENER 250ML,3,1795.19,2025-05-20
75847,WHITE SUGAR 1KG,1,355.01,2025-05-20
75848,VIM DISHWASH LIQUID 500ML,3,851.65,2025-05-20
75849,MALIBAN GOLD MARIE 200G,2,405.92,2025-05-20
75850,GILLETTE RAZOR,1,245.63,2025-05-20
75851,RICH LIFE SET KIRI DAIRY DESSERT 450G,3,908.96,2025-05-20
75852,MAGGI COCONUT MILK POWDER 1KG,1,1527.5,2025-05-20
75853,RAIGAM FRIED & DEVILLED SOYA CHICKEN 110G,3,758.65,2025-05-20
75854,LITTLE LION CHOCOLATE CAKE SLICE,1,149.31,2025-05-20
75855,LAKMO EGG PACK L 10,3,1625.39,2025-05-20
75856,SALT 1KG,3,296.4,2025-05-20
75857,SIRILAK CHILLI POWDER 100G,5,1394.72,2025-05-20
75858,VEG CUCUMBER 1KG,2,303.29,2025-05-20
75859,FRESH MILK 1L,3,1187.12,2025-05-20
75860,KIST PEANUT BUTTER 340G,1,801.49,2025-05-20
75861,VEG LIME 1KG,2,985.25,2025-05-20
75862,MALIBAN GOLD MARIE 200G,4,794.21,2025-05-20
75863,CINNAMON STICKS 50G,3,1200.61,2025-05-20
75864,SALT 1KG,3,296.35,2025-05-20
75865,COCONUT OIL 750ML,4,3409.52,2025-05-20
